"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Traffic_Management_Services__contract__Groups","PrequalificationCategories","Letter"
"Verve Projects Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8cc84c7ab7b2c7b5ca2581470008f43f?OpenDocument","Fresh","2025-09-12 10:47:31","Verve Projects Pty Ltd&nbsp","&nbsp","Level 1/173 Burke RoadGLEN IRIS  VIC   3146&nbsp","&quot;As Above&quot; &nbsp","0402 004 451&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, static, strong, style, supplierdetails","V"
"Vic Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7ed5e932a3895e04ca258574001f8fdf?OpenDocument","Fresh","2025-09-12 10:47:32","Vic Civil Pty Ltd&nbsp","&nbsp","21 Commercial DriveDANDENONG  SOUTH  VIC   3175&nbsp","&quot;As Above&quot; &nbsp","0401 498 988&nbsp","[email&#160;protected]&nbsp",,"Categories: B1, F025, R1, screen, script, scripts, Section, Service, size, SOUTH, src, static, strong, style, supplierdetails","V"
"VicGeo**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/93e69369bf31d864ca2587480007ee0e?OpenDocument","Fresh","2025-09-12 10:47:32","Victorian Geotechnical Services Pty Ltd&nbsp","VicGeo&nbsp","7/33 Colemans RoadCARRUM DOWNS  VIC   3201&nbsp","&quot;As Above&quot; &nbsp","0419 323 072&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, Services, size, src, static, strong, style, supplierdetails","V"
"VicRoads Design**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1fb04c367501ae3cca256d0a000766fc?OpenDocument","Fresh","2025-09-12 10:47:33","Roads Corporation&nbsp","VicRoads Design&nbsp","3 Prospect Hill RoadCAMBERWELL VIC   3124&nbsp","Private Bag 12CAMBERWELL POST OFFICE  VIC 3124&nbsp","&nbsp","&nbsp","Categories: Categories:","Categories: Safety, screen, script, scripts, Section, Service, Services, SH, Signal, Signing, Simple, Simulation, size, src, SS, Strategies, strong, Structures, style, supplierdetails","V"
"Victoria Asphalt Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/26feae7ed15d4a3fca257a370018660f?OpenDocument","Fresh","2025-09-12 10:47:34","Victoria Asphalt Pty Ltd&nbsp","&nbsp","62 Chifley DrivePreston, VIC   3072&nbsp","P O Box 631Doncaster, VIC 3108&nbsp","0419 349 865&nbsp","[email&#160;protected] &nbsp",,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails, Surfacing","V"
"Victorian Infrastructure Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c94f53ef2df951a7ca2582630077bc55?OpenDocument","Fresh","2025-09-12 10:47:34","Victorian Infrastructure Services Pty Ltd&nbsp","&nbsp","3 The WridgewayMount Evelyn  VIC   3790&nbsp","PO Box 427MOUNT EVELYN  VIC 3796&nbsp","0418 368 806&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","V"
"Victorian Traffic Plans Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e767c6a85647601cca2582510074fafc?OpenDocument","Fresh","2025-09-12 10:47:35","Victorian Traffic Plans Pty Ltd&nbsp","&nbsp","12 Lanvos DriveDIAMOND CREEK  VIC   3089&nbsp","&quot;As Above&quot; &nbsp","0400 663 586&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails, Susan","V"
"Vipac Engineers &amp; Scientists**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8006b97f2ddd2f18ca256d0a000767df?OpenDocument","Fresh","2025-09-12 10:47:35","Vipac Engineers & Scientists Ltd&nbsp","Vipac Engineers & Scientists&nbsp","279 Normanby RoadPort Melbourne VIC   3207&nbsp","Private Bag  16PORT MELBOURNE  VIC 3207&nbsp","&nbsp","[email&#160;protected] ?&nbsp",,"Categories: Scientists, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","V"
"Visionstream Australia Pty Limited","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d3ed26e4c03cfad3ca257799001df4b9?OpenDocument","Fresh","2025-09-12 10:47:36","Visionstream Australia Pty Limited&nbsp","&nbsp","20 Corporate DriveHEATHERTON   VIC   3202&nbsp","As Above &nbsp","0427 589 556&nbsp","[email&#160;protected] &nbsp","Categories: Categories:","Categories: screen, script, scripts, SCTV, Section, Senior, Service, Services, size, src, SSLC, static, STCE, Street, strong, style, supplierdetails, Supply, Systems","V"
"Vorm Traffic**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cce95209dd19458bca2574f20017e189?OpenDocument","Fresh","2025-09-12 10:47:37","Vorm Traffic Management Pty Ltd&nbsp","Vorm Traffic&nbsp","214 Crusoe RoadKangaroo Flat   3555&nbsp","&quot;As Above&quot;&nbsp","0418 590 871&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","V"
"VSD Labour Hire Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3d29052af5c75bf5ca258416008152c8?OpenDocument","Fresh","2025-09-12 10:47:37","VSD Labour Hire Pty Ltd&nbsp","&nbsp","50 Bushy Park AvenueCAROLINE SPRINGS  VIC   3023&nbsp","&quot;As Above&quot; &nbsp","0401 534 365&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, SPRINGS, src, static, Stefan, strong, style, superseded, supplierdetails","V"
"VSL Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0f3b2e3d58651128ca257b28001b8400?OpenDocument","Fresh","2025-09-12 10:47:38","VSL Australia Pty Ltd&nbsp","&nbsp","Suite 2.02, Level 2,  6 Eden Park DriveMACQUARIE PARK NSW   2113&nbsp","&quot;As Above&quot;&nbsp","0410 345 042&nbsp","[email&#160;protected]&nbsp",,"Categories: B4, F025, screen, script, scripts, Section, Service, size, src, static, strong, style, Suite, supplierdetails","V"
