"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Traffic_Management_Services__contract__Groups","PrequalificationCategories","Letter"
"Miepol Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/501bbb07f16d6790ca257c7e0002a6e8?OpenDocument","Fresh","2025-09-12 10:44:05","Miepol Pty Ltd&nbsp","&nbsp","35 Market StreetSOUTH MELBOURNE  VIC   3035&nbsp","&quot;As Above&quot; &nbsp","0417 690 653&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: F005, R1, screen, script, scripts, Section, Service, Services, size, SOUTH, src, static, Street, strong, style, supplierdetails","M"
"Miglic MacLeod **","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a5ce3a203f0c4f63ca2582e900155fdc?OpenDocument","Fresh","2025-09-12 10:44:06","Optimatum Pty Ltd&nbsp","Miglic MacLeod &nbsp","Level 5/468 St Kilda RoadMELBOURNE  VIC   3004&nbsp","&quot;As Above&quot; &nbsp","0438  545 323&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, Simple, size, src, SS, St, static, strong, Structures, style, supplierdetails","M"
"Mike Carter Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/701c3b42f4ceeff4ca2580eb007ba783?OpenDocument","Fresh","2025-09-12 10:44:07","Mike Carter Consulting Pty Ltd&nbsp","&nbsp","23 Third AveuneFORESTVILLE  SA   5035&nbsp","&quot;As Above&quot; &nbsp","0411 447 093&nbsp","[email&#160;protected]&nbsp",,"Categories: SA, screen, script, scripts, Section, Service, Services, size, Specialists, src, static, strong, style, supplierdetails","M"
"Mildura Rural City Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/60171d9ec33b3a0dca256d0b0016fba7?OpenDocument","Fresh","2025-09-12 10:44:07","Mildura Rural City Council&nbsp","&nbsp","5 Avocat Avenue NorthRED CLIFFS  VIC   3496&nbsp","PO Box 105MILDURA  VIC 3502&nbsp","0419 154 769&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","M"
"Mildura Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0620a1630d94df7fca257dd4007ac22a?OpenDocument","Fresh","2025-09-12 10:44:08","Mildura Traffic Management Pty Ltd&nbsp","&nbsp","1077 Cowra Avenue MILDURA  VIC   3500&nbsp","PO Box 2983 MILDURA  VIC 3502&nbsp","0438 033 264&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","M"
"Millar &amp; Merrigan Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e5144ea41cd61bfcca256d0a000757e3?OpenDocument","Fresh","2025-09-12 10:44:09","Millar & Merrigan Pty Ltd&nbsp","&nbsp","2/126 Merrindale DriveCROYDON   3136&nbsp","PO Box 247 CROYDON  VIC 3136&nbsp","&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, static, strong, style, supplierdetails","M"
"Millers Civil Contractors Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3dcda138328d8b35ca257db0007fa869?OpenDocument","Fresh","2025-09-12 10:44:09","Millers Civil Contractors Pty Ltd&nbsp","&nbsp","132 Stawell RoadHORSHAM  VIC   3400&nbsp","PO Box 241HORSHAM  VIC 3402&nbsp","0417 548 650&nbsp","[email&#160;protected]&nbsp",,"Categories: B2, F015, M2-BW, M2-PW, M2-RW, R3, screen, script, scripts, Section, Service, size, src, static, Stawell, strong, style, supplierdetails","M"
"Mintern Civil**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5ee96da9a9f06d6aca256d6b00128404?OpenDocument","Fresh","2025-09-12 10:44:10","Terfo Pty Ltd&nbsp","Mintern Civil&nbsp","844 North East Wonwondah RoadWONWONDAH  VIC   3401&nbsp","PO BOX 1009HORSHAM  VIC 3402&nbsp","0438 821 564&nbsp","[email&#160;protected]&nbsp",,"Categories: F001, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","M"
"Mitchell Shire Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/940eb8e84a154b79ca257c22007a0bf6?OpenDocument","Fresh","2025-09-12 10:44:10","Mitchell Shire Council&nbsp","&nbsp","113 High StreetBroadford, VIC   3658&nbsp","&quot;As Above&quot; &nbsp","0429 997 167&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Senior, Service, Services, Shire, size, src, static, Street, strong, style, superseded, supplierdetails","M"
"Mitchell Water Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/78ddfea3eacfc7bbca2580bc000fae32?OpenDocument","Fresh","2025-09-12 10:44:11","Mitchell Water Australia Pty Ltd&nbsp","&nbsp","37 -39 Cobden StreetNORTH MELBOURNE  VIC   3051&nbsp","&quot;As Above&quot; &nbsp","0417 519 481&nbsp","[email&#160;protected] &nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, Slimmon, src, static, Street, strong, style, superseded, supplierdetails","M"
"MLEI Consulting Engineers **","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/385116753086fa5aca25884500213eaa?OpenDocument","Fresh","2025-09-12 10:44:12","MLEI Melbourne Pty Ltd&nbsp","MLEI Consulting Engineers &nbsp","Level 14 Suite 2, 276 Flinders StreetMELBOURNE  VIC   3000&nbsp","&quot;As Above&quot; &nbsp","0437 756 775&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, static, Street, strong, style, Suite, supplierdetails","M"
"Mobell Traffic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/662caefa4d7f6017ca2583a70078c007?OpenDocument","Fresh","2025-09-12 10:44:12","Mobell Traffic Pty Ltd&nbsp","&nbsp","6a Monomeath AvenueTOORAK  VIC   3142&nbsp","PO Box 5226MORELAND WEST  VIC 3055&nbsp","0490 207 887&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","M"
"Momentum Traffic Control**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4e1a967494d1b9dfca257a400020a25e?OpenDocument","Fresh","2025-09-12 10:44:13","Momentum Traffic Control Pty Ltd&nbsp","Momentum Traffic Control&nbsp","26A Bate ClosePakenham, VIC    3810&nbsp","P O Box  345 Pakenham, VIC 3810&nbsp","03 7018 7888&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","M"
"Monford Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/34c5a8c2822bd2dcca257f7200039832?OpenDocument","Fresh","2025-09-12 10:44:14","Monford Group Pty Ltd&nbsp","&nbsp","7 Coulson WayCANNING VALE   WA   6155&nbsp","&quot;As Above&quot; &nbsp","0450 421 859&nbsp","[email&#160;protected]&nbsp",,"Categories: B2, F010, R2, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","M"
"Monjon Traffic**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d9697375b111dd2eca25758d0020ba30?OpenDocument","Fresh","2025-09-12 10:44:14","Monjon Traffic (Australia) Pty Ltd&nbsp","Monjon Traffic&nbsp","283 Bay RoadCHELTENHAM  VIC   3192&nbsp","PO  BOX  135HAMPTON  VIC  3188&nbsp","0437 777 893&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Stephanitsch, strong, style, superseded, supplierdetails","M"
"Moreland City Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f70e817afb4e2839ca2583c200769d92?OpenDocument","Fresh","2025-09-12 10:44:15","Moreland City Council&nbsp","&nbsp","90 Bell StreetCOBURG  VIC   3058&nbsp","Locked Bag 10MORELAND  VIC 3058&nbsp","0478 324 316&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, Space, src, static, Street, strong, style, superseded, supplierdetails","M"
"Morphum Environmental Limited","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1b194c6cf2aafd87ca258c580000f5ce?OpenDocument","Fresh","2025-09-12 10:44:16","Morphum Environmental Limited&nbsp","&nbsp","Level 20, 31 Queen StreetMELBOURNE VIC   3000&nbsp","&quot;As Above&quot; &nbsp","0416 664 140&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, static, Street, strong, style, supplierdetails","M"
"Mott MacDonald Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fd3efce9b5574f08ca2578540005bf1c?OpenDocument","Fresh","2025-09-12 10:44:16","Mott MacDonald Australia Pty Ltd&nbsp","&nbsp","L17, Tower One, Collins Square727 Collins Street,MELBOURNE   VIC   3008&nbsp","&quot;As Above&quot; &nbsp","&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: Safety, scale, screen, script, scripts, Section, Sector, Sensitive, Service, Services, SH, Signing, Simple, Simulation, size, Smith, Specialists, Square, src, SS, state, static, Strategies, Street, strong, Structures, style, suitable, supplierdetails, Survey, surveys, Systems","M"
"MRL Contracting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8cfbc8e3ae754764ca25896300809f8a?OpenDocument","Fresh","2025-09-12 10:44:17","MRL Contracting Pty Ltd&nbsp","&nbsp","86 The Elms BoulevardKILMORE  VIC   3764&nbsp","&quot;As Above&quot; &nbsp","&nbsp","[email&#160;protected]&nbsp",,"Categories: M1, M2-BW, M2-RW, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","M"
"Mt Buller Mt Stirling Resort Management","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3a824df31dd03143ca257e23001e4d52?OpenDocument","Fresh","2025-09-12 10:44:17","Mt Buller Mt Stirling Resort Management&nbsp","&nbsp","Alpine Central Summit RoadMOUNT BULLER  VIC   3723&nbsp","&quot;As Above&quot; &nbsp","0428 752 201&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: Sarah, screen, script, scripts, season, Section, see, Service, Services, size, solely, src, static, Stirling, strong, style, subject, Summit, superseded, supplierdetails","M"
"Mt Hotham Alpine Resort Management Board","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b8d57a5a297c480aca25804200199564?OpenDocument","Fresh","2025-09-12 10:44:18","Mt Hotham Alpine Resort Management Board&nbsp","&nbsp","Great Alpine RoadMOUNT HOTHAM  VIC   3741&nbsp","P O BOX 188BRIGHT  VIC 3741&nbsp","0428 604 334&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, Supervisor, supplierdetails","M"
"mta CONSULT**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2663302342d1e97bca257a4600089a4c?OpenDocument","Fresh","2025-09-12 10:44:19","Marek Toman Pty Ltd&nbsp","mta CONSULT&nbsp","Level 1/16 The MallWest Heidelberg VIC   3081&nbsp","&quot;As Above&quot; &nbsp","0418 987 989&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, Services, size, Specialists, src, static, strong, style, supplierdetails","M"
"MU Group Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/92f8afd042abb9e0ca258bd6001565f9?OpenDocument","Fresh","2025-09-12 10:44:19","MU Group Consulting Pty Ltd&nbsp","&nbsp","Level 4, 23-33 Mary StreetSurry Hills, NSW   2010&nbsp","&quot;As Above&quot; &nbsp","0427279732&nbsp","[email&#160;protected]&nbsp",,"Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, static, Street, strong, style, supplierdetails, Surry","M"
"MUARC**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/50cb9cb930df8140ca258232007ffb69?OpenDocument","Fresh","2025-09-12 10:44:20","Monash University Accident Research Centre&nbsp","MUARC&nbsp","Building 70, 21 Alliance Lane, Clayton Campus, Monash UniversityCLAYTON  VIC   3800&nbsp","&quot;As Above&quot; &nbsp","&nbsp","[email&#160;protected]?&nbsp","Categories: Categories:","Categories: Safety, screen, script, scripts, Section, Service, Services, size, src, static, Strategies, strong, Stuart, style, supplierdetails, Survey, surveys","M"
"Muller Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/aeca62cc0d902d15ca257bce0002ec77?OpenDocument","Fresh","2025-09-12 10:44:21","Muller Pty Ltd&nbsp","&nbsp","Suite 7.03 / 390 St. Kilda RoadMelbourne VIC   3004&nbsp","&quot;As Above&quot; &nbsp","0419 215 686&nbsp","[email&#160;protected]&nbsp",,"Categories: Samuels, screen, script, scripts, Section, Service, size, Specialist, src, St, static, strong, Studies, style, Suite, supplierdetails","M"
"Multipipe Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/91814200e36c282aca2573ad0076546e?OpenDocument","Fresh","2025-09-12 10:44:21","Multipipe Traffic Management Pty Ltd&nbsp","&nbsp","25 Dry Creek CresentWANDONG  VIC   3758&nbsp","PO  BOX  157WANDONG  VIC 3758&nbsp","0407 471 963&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: Scott, screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","M"
"Multiplex Constructions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/43564653fc2dc6b7ca2581f3007f3cc4?OpenDocument","Fresh","2025-09-12 10:44:22","Multiplex Constructions Pty Ltd&nbsp","&nbsp","499 Swanston StreetMELBOURNE VIC   3000&nbsp","&quot;As Above&quot; &nbsp","0401 107 178&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Street, strong, style, superseded, supplierdetails, Swanston","M"
"Multipro Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6e6416e09e6f8ff2ca2571bf000d2c61?OpenDocument","Fresh","2025-09-12 10:44:23","Multipro Civil Pty Ltd&nbsp","&nbsp","77 Metrolink Circuit EasttCAMPBELLFIELD   3061&nbsp","&quot;As Above&quot;&nbsp","0400 695 354&nbsp","[email&#160;protected]&nbsp",,"Categories: B1, F001, M1, M2-PW, R2, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","M"
"Munns Parks and Gardens Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d30413405f17e7f2ca257d1f000beb85?OpenDocument","Fresh","2025-09-12 10:44:23","Munns Parks and Gardens Pty Ltd&nbsp","&nbsp","5 Huxtable RoadPAKENHAM UPPER  VIC    3810&nbsp","&quot;As Above&quot; &nbsp","0417 944 646&nbsp","[email&#160;protected]&nbsp",,"Categories: M2-RW, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","M"
"Murtec Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0a049dc37a716c98ca25830d0079040a?OpenDocument","Fresh","2025-09-12 10:44:24","Murtec Group Pty Ltd&nbsp","&nbsp","8 Tiki CourtWHEELERS HILL  VIC   3150&nbsp","&quot;As Above&quot; &nbsp","0477 098 381&nbsp","[email&#160;protected]&nbsp","Categories: Categories:","Categories: screen, script, scripts, Section, Service, Services, size, src, static, Steven, strong, style, supplierdetails","M"
