"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Environment_Group","Biodiversity","PrequalificationCategories","Letter"
"HDS Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/48ef20e27b81c9ecca256d0a00074c73?OpenDocument","Fresh","2025-09-12 10:42:38","HDS Australia Pty Ltd&nbsp","&nbsp","Waverley Business Centre21-23 Aristoc RoadGLEN WAVERLEY  VIC   3150&nbsp","&quot;As Above&quot;&nbsp","0418 856 235&nbsp","[email&#160;protected] &nbsp",,,"Categories: Safety, screen, script, scripts, Section, Senior, Service, Services, Sewell, Signal, Signing, size, Specialists, src, SRSA, static, Strategies, strong, style, supplierdetails, Survey, surveys, Surveys","H"
"Healey Infrastructure Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ef25aa9df749cf93ca257b0b007ce738?OpenDocument","Fresh","2025-09-12 10:42:39","Healey Infrastructure Pty Ltd&nbsp","&nbsp","22 Commercial DriveLYNBROOK  VIC   3975&nbsp","PO  BOX  239NARRE WARREN  VIC 3805&nbsp","0433 249 420&nbsp","[email&#160;protected]&nbsp",,,"Categories: F005, R2, screen, script, scripts, Section, see, Service, Services, Signals, size, src, static, STCE, strong, STS1, style, superseded, supplierdetails, Supply, Systems","H"
"Hi-Lux Technical Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8a06b0d42d6c70e2ca256d5800020f62?OpenDocument","Fresh","2025-09-12 10:42:40","Hi-Lux Technical Services Pty Ltd&nbsp","&nbsp","34-36 Chaffey StTHOMASTOWN  VIC   3074&nbsp","PO BOX  141  THOMASTOWN  VIC 3074&nbsp","0409 175 606&nbsp","[email&#160;protected]&nbsp",,,"Categories: Sam, screen, script, scripts, SCTV, Section, see, Service, Services, Signals, size, SOED, Sozio, src, SSLC, St, static, STCE, Street, strong, STS, STS1, STS2, style, superseded, supplierdetails, Supply, Systems","H"
"Hickmans Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/32b5194c2407ba08ca257b500024b50f?OpenDocument","Fresh","2025-09-12 10:42:40","Hickmans Pty Ltd&nbsp","&nbsp","434 Olympic ParadeMAIDEN GULLY   VIC    3551&nbsp","PO Box 1750KANGAROO FLAT  VIC 3555&nbsp","0418 510 633&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","H"
"Hickory Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0fc5f8ec10b0bc10ca257d7b001ef18a?OpenDocument","Fresh","2025-09-12 10:42:41","Hickory Group Pty Ltd&nbsp","&nbsp","Level 5 68 Clarke StreetSOUTHBANK   VIC   3006&nbsp","&quot;As Above&quot; &nbsp","0422 646 568&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, SOUTHBANK, src, static, Street, strong, style, superseded, supplierdetails","H"
"High Access Cabling Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a09d8f5ac7e7f741ca257ec80082fea2?OpenDocument","Fresh","2025-09-12 10:42:42","High Access Cabling Pty Ltd&nbsp","&nbsp","18 Greenaway StreetBULLEEN VIC   3105&nbsp","P O Box 491BULLEEN  VIC 3105&nbsp","0408 508 222&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, SCTV, Section, Service, Services, size, src, SSLC, static, STCE, Street, strong, style, supplierdetails, Supply, Systems","H"
"Hird Constructions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0f726e00c9b65b6fca257b250012ee61?OpenDocument","Fresh","2025-09-12 10:42:42","Hird Constructions Pty Ltd &nbsp","&nbsp","29 Coonooer StreetKangaroo Flat  VIC   3555&nbsp","P O Box 3022Bendigo  VIC  3554&nbsp","0407 334 353&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Street, strong, style, superseded, supplierdetails","H"
"Hiway Aus Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/42ba799e15a9f8cbca258bbe00092b1b?OpenDocument","Fresh","2025-09-12 10:42:43","Hiway Aus Pty Ltd&nbsp","&nbsp","503 Sandy Creek RoadJOSEPHVILLE, QLD   4285&nbsp","PO Box 3500LOGANHOLME QLD 4129&nbsp","0475 818 907&nbsp","[email&#160;protected]&nbsp",,,"Categories: F050, R2, Sandy, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","H"
"HMI Technologies Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e6cb04692ab39b0eca257b2e0070cfc1?OpenDocument","Fresh","2025-09-12 10:42:43","HMI Technologies Pty Ltd&nbsp","&nbsp","13 Silicon DriveTullamarine  VIC   3043&nbsp","P O Box 1063Tullamarine  VIC 3043&nbsp","+61 409 144 647&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, Services, Silicon, size, SOED, src, static, strong, style, supplierdetails, Supply, Systems","H"
"Hoare Bros Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/444cb3ad6388babaca25729d0023043e?OpenDocument","Fresh","2025-09-12 10:42:44","Hoare Bros Pty Ltd&nbsp","&nbsp","99 Barwon TerraceSOUTH GEELONG  VIC   3220&nbsp","PO  BOX  830GEELONG  VIC   3220&nbsp","&nbsp","[email&#160;protected]&nbsp",,,"Categories: M1, screen, script, scripts, Section, Service, size, SOUTH, src, static, strong, style, supplierdetails","H"
"Horsham Rural City Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/18736622126cc2d0ca257a15001f02e1?OpenDocument","Fresh","2025-09-12 10:42:45","Horsham Rural City Council&nbsp","&nbsp","Roberts AvenueHorsham VIC   3400&nbsp","P.O. Box 511Horsham VIC 3402&nbsp","0408 892 642&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","H"
"Hourigan &amp; Walsh Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5f7cc69b314be209ca25707500191241?OpenDocument","Fresh","2025-09-12 10:42:45","Hourigan & Walsh Pty Ltd&nbsp","&nbsp","Lot 6 Alamere DriveTRARALGON   VIC   3844&nbsp","PO Box 1480TRARALGON   VIC 3844&nbsp","0428 512 843&nbsp","[email&#160;protected]&nbsp",,,"Categories: B2, F001, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","H"
"Hume Contracting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/aa16eb2bdd8dcfb8ca2577c20022c63e?OpenDocument","Fresh","2025-09-12 10:42:46","Hume Contracting Pty Ltd&nbsp","&nbsp","275 Lancefield RoadSUNBURY VIC   3429&nbsp","PO Box 899SUNBURY  VIC 3429&nbsp","0418 393 861&nbsp","[email&#160;protected]&nbsp",,,"Categories: M2-RW, screen, script, scripts, Section, Service, size, src, static, strong, style, SUNBURY, supplierdetails","H"
"Hutchinson Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/407929bd8d0d8a08ca25845a0074358d?OpenDocument","Fresh","2025-09-12 10:42:47","Hutchinson Civil Pty Ltd&nbsp","&nbsp","52 Conrad PlaceLAVINGTON  NSW   2641&nbsp","&quot;As Above&quot; &nbsp","0438 500 359 &nbsp","[email&#160;protected]&nbsp",,,"Categories: F015, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","H"
"Huxley Road Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/831178a09d522a72ca258434001c1458?OpenDocument","Fresh","2025-09-12 10:42:47","Huxley Road Services Pty Ltd&nbsp","&nbsp","21 Aster AvenueCARRUM DOWNS  VIC   3201&nbsp","&quot;As Above&quot; &nbsp","0417 026 087&nbsp","[email&#160;protected]&nbsp",,,"Categories: M1, screen, script, scripts, Section, Service, Services, size, src, static, strong, style, supplierdetails","H"
