"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","Mobile_No_","PostalAddress","Road_and_Bridge_Construction_Group","PrequalificationCategories","Letter"
"Bayport Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ea097e34f9cddec0ca257eac001f1390?OpenDocument","Cached","2026-01-21 15:55:39","Bayport Civil Pty Ltd","(03) 9770 3700",,"55 Colemans Road, CARRUM DOWNS VIC 3201","Mr Bryce Plamer","General Manager of Operations",,"""As Above"", &nbsp","Road Construction: R3; Financial: F050","F050, R3","B"
"BBC Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d38198a187bff5aeca2587ff00782c16?OpenDocument","Cached","2026-01-21 15:55:39","BBC Traffic Management Pty Ltd","1300 011 807",,"Warehouse 3/37 The Gateway, BROADMEADOWS VIC 3047","Ms Fatima Abdullatif","Administration Officer",,"""As Above"", &nbsp",,,"B"
"BCivil Recruitment Pty ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/92daea15e89ab5e5ca2582f9001c0b18?OpenDocument","Cached","2026-01-21 15:55:40","BCivil Recruitment Pty ltd","0409 976 690",,"31 Wallis Street, DELCOMBE VIC 3356","Ms Kylie Morris","Director","0409 976 690","31 Wallis Street, DELCOMBE VIC 3356&nbsp",,,"B"
"Beca Consultants Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/037767a58d044322ca2572fa002a0c06?OpenDocument","Cached","2026-01-21 15:55:41","Beca Consultants Pty Ltd","(03) 9272 1400","1300 262 714","Level 4, 5 Queens Road, MELBOURNE VIC 3004","Mr David Silvester","Principal ? Transport","0416 971 127","PO BOX 7079, MELBOURNE VIC 8004&nbsp",,"CF, CH, CI, CS, DSD, EA, EAC, E-EAC, E-EMS, EESW, EMS, FD, FPD1, FPD2, FPR, HC, H-COMPLEX, H-SIMPLE, LAND, M1, M2, M3, ND1, ND2, ND3, PAR, PE, PNM, PRN, PRS, PSAD, RISK, RM, RM1, RM2, RM3, ROAD, RPD, RR, SH, SI, SS, ST, STRUCTURES-COMPLEX, STRUCTURES-SIMPLE, TAR, TLD, TM, TMC, TOF, TOS, TSM, TTF, UR, USE","B"
"Beca Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d9eedcee017b4c76ca256fea00204cf1?OpenDocument","Cached","2026-01-21 15:55:41","Beca Pty Ltd","+61 3 8594 4489","1300 262 714","Level 4, 5 Queens Road, MELBOURNE VIC 3004","Mr Messi Khabazi","Principal ? Transport","+61 407 360 507","PO BOX 7079, MELBOURNE VIC 8004&nbsp",,"CF, CH, CI, CS, DES, DSD, EA, EESW, FD, FPD1, FPD2, FPR, GT, GT-DES, GT-GWH, GT-PRE, GWH, HC, H-COMPLEX, H-SIMPLE, LAND, M1, M2, M3, ND1, ND2, ND3, PAM, PAR, PE, PNM, PRE, PRN, PRS, PSAD, RISK, RM, RM1, RM2, RM3, ROAD, RPD, RR, SH, SI, SS, ST, STRUCTURES-COMPLEX, STRUCTURES-SIMPLE, TAR, TCA, TLD, TM, TMC, TOF, TOS, TPF, TSD, TSM, TTF, UR, USE, WSRD","B"
"Bedrock Traffic Control Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/da7101d28742914dca257a9f00789c25?OpenDocument","Cached","2026-01-21 15:55:42","Bedrock Traffic Control Pty Ltd","0407 836 266",,"33 Bank Street, YARRAWONGA VIC 3730","Ms Jacinta Caruso","Director","0407 836 266","""As Above"", &nbsp",,,"B"
"Bells Civil Excavation Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/877eba22842684bbca2589ad001b1240?OpenDocument","Cached","2026-01-21 15:55:43","Bells Civil Excavation Pty Ltd",,,"170 Yarraview Road, YARRA GLEN VIC 3775","Mrs Sami Bell","Business Managerr","0425 848 894","""As Above"", &nbsp",,"M2-PW, PW","B"
"Bellwether Contractors Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/273a1949051f4069ca258202007f3091?OpenDocument","Cached","2026-01-21 15:55:44","Bellwether Contractors Pty Ltd","1300 883 504",,"Level 13, 300 Ann Street, BRISBANE QLD 4000","Mr Stephen Ladds","Managing Director","0437 544 431","""As Above"", &nbsp","Road Construction: R2; Bridge Construction: B2; Financial: F010","B2, F010, R2","B"
"Benalla Rural City Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d84827fdbc525647ca258064000f02fa?OpenDocument","Cached","2026-01-21 15:55:44","Benalla Rural City Council","(03) 5760 2600","(03) 5762 5537","1 Bridge Street East, BENALLA VIC 3672","Mr Bryan Campbell","Manager Infrastructure","0407 344 910","P O Box 227, BENALLA VIC 3671&nbsp",,,"B"
"Berne Fleming Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cfabf370cddeac63ca2575fc008185f1?OpenDocument","Cached","2026-01-21 15:55:45","Berne Fleming Civil Pty Ltd","5335 8919","(03) 9326 8842","5 Lewers Court, DELACOMBE VIC 3356","Mr Toby Hoy","Systems Manager","0429 042 472","""As Above""&nbsp","Road Construction: R1; Bridge Construction: B1; Financial: F001","B1, F001, R1","B"
"Better Scaffolding &amp; Truck Hire Company Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/47aa5952a1be550bca2583e00015aeea?OpenDocument","Cached","2026-01-21 15:55:45","Better Scaffolding & Truck Hire Company Pty Ltd","03 9350 2342","03 9354 6818","Level 1, 133-144 Bell Street, COBURG VIC 3058","Mr Sebastian Giacchi","Construction Manager","0409 887 787","PO Box 217, COBURG VIC 3058&nbsp",,,"B"
"Beveridge Williams &amp; Co Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2286e0ec674ffe79ca256d0a000739f2?OpenDocument","Cached","2026-01-21 15:55:46","Beveridge Williams & Co Pty Ltd","(03) 9524 8769","(03) 9524 8899","1 Glenferrie Road , MALVERN VIC 3144","Mr Mia Cullino","Senior Infrastructure Engineer",,"PO BOX 61, MALVERN, VIC 3144&nbsp",,"H-SIMPLE, PAM, PRN, ROAD, RR, SH, TAR, TLD, TOS, TPF, TSD, TTF, UR","B"
"BG&amp;E Pty Limited","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1c3244e0cef4687eca257ea800255341?OpenDocument","Cached","2026-01-21 15:55:47","BG&E Pty Limited","(03) 9652 3900",,"Level 28, 367 Collins Street, MELBOURNE VIC 3000","Mr Alex Wong","Civil Lead ? VIC/SA","0420 947 468","""As Above"", &nbsp",,"CH, CS, FD, FPD1, FPD2, FPR, H-COMPLEX, H-SIMPLE, M1, M2, M3, ND1, ND2, ND3, PAM, PE, RM1, RM2, RM3, ROAD, RPD, RR, SH, SS, STRUCTURES-COMPLEX, STRUCTURES-SIMPLE, UR, WSRD","B"
"Bielby Holdings Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2c1079394dc7803dca257e6b0077ed6a?OpenDocument","Cached","2026-01-21 15:55:47","Bielby Holdings Pty Ltd","(07) 3378 6938",,"23A Graham Street, MILTON QLD 4064","Mr Neil McKenzie","Systems & Compliance Manager","0407 192 001","P O Box 1553, MILTON QLD 4064&nbsp","Road Construction: R5; Bridge Construction: B4; Financial: F150+","B4, F150+, R5","B"
"Bild Greenfields Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/552147756359c9ccca2588fc007b99c5?OpenDocument","Cached","2026-01-21 15:55:48","Bild Greenfields Pty Ltd",,,"7 Metrolink Circuit, CAMBERFIELD VIC 3061","Mr Christopher Bulled","Manager, Landscapes","0498 023 688","133 Metrolink Circuit, Campbellfield, VIC 3061&nbsp",,"LS","B"
"Bild Infrastructure Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7c32071434b4f4a5ca2586b20001f9d3?OpenDocument","Cached","2026-01-21 15:55:48","Bild Infrastructure Pty Ltd","(03) 9357 0770","(03) 9357 0771","133 Metrolink Circuit , CAMPBELLFIELD VIC 3061","Mr Jonathan Zahra","HSEQ Operations Manager","0484 020 727","""As Above"", &nbsp","Road Construction: R4; Bridge Construction: B3; Financial: F150","B3, BW, F150, M1, M2-BW, M2-PW, M2-RW, PW, R4, ROAD, RSA, RW, WORKS-MINOR","B"
"Biosis Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/bfa2e5978820c15cca257c5a0018fdc7?OpenDocument","Cached","2026-01-21 15:55:49","Biosis Pty Ltd","(03) 8686 4800","(03) 9646 9242","C/- Dobbyn & Carafa, Level 9, 636 St Kilda Road , MELBOURNE VIC 3004","Mr Gary Pollard","Services Manager","0400 001 096","38 Bertie Street, PORT MELBOURNE VIC 3207&nbsp",,"AFF, AND, E-AFF, E-TFL, GAIN, NET, PSAD, TFL","B"
"Bitu-mill Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c23dad4d09b8a9d8ca258870001f124c?OpenDocument","Cached","2026-01-21 15:55:50","Bitu-mill Pty Ltd","(03) 9357 0770",,"133 Metrolink Circuit, CAMPBELLFIELD VIC 3061","Mr Darren Johns","Asphalt/Paving Manager","0438 820 357","""As Above"", &nbsp",,"M2-PW, PW, ROAD, RSA","B"
"BJ &amp; BM Flannagan Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/aedc8ef0e2b1bdd2ca25868d0015316f?OpenDocument","Cached","2026-01-21 15:55:50","BJ & BM Flannagan Pty Ltd",,,"35 Dry Hill Lane, OMEO VIC 3898","Mr Bernard Flannagan","Director","0427 546 771","""As Above"", &nbsp",,,"B"
"Black Geotechnical Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f073d304f5b3906eca256d0a00073a97?OpenDocument","Cached","2026-01-21 15:55:51","Black Geotechnical Pty Ltd","(03) 9689 0200",,"258 Hyde Street , , YARRAVILLE VIC 3013","Mr Nick Schofield","Director","0408 386 902","""As Above""&nbsp",,"DES, FPD1, GT, GT-DES, GT-GWH, GT-INV, GT-PST, GWH, INV, M1, ND1, PILE, PST, RM1","B"
"Blue Frog Design Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0bc1d5e9a24a5866ca257e74000422ba?OpenDocument","Cached","2026-01-21 15:55:51","Blue Frog Design Pty Ltd","03 8588 6370",,"Suite 5 Level 2 / 799 Springvale Road, MULGRAVE VIC 3170","Mr John Frederico","Managing Director","0427 596 156","""As Above"", &nbsp",,"TLD","B"
"Blue Peak Constructions**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/851e4c6d5deaa1feca257cd9000073a1?OpenDocument","Cached","2026-01-21 15:55:52","Blue Peak Holdings Pty Ltd","(0422) 168 011",,"1/237 Auburn Road, Hawthorn VIC 3122","Mr Cameron Roberts","Director","0422 168 011","""As Above"", &nbsp",,,"B"
"BMD Constructions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a748110035dc274eca2572db0018687c?OpenDocument","Cached","2026-01-21 15:55:53","BMD Constructions Pty Ltd","(03) 9811 3444",,"1 Sandpiper Ave, , Port of Brisbane QLD 4178","Mr Mark Tran","Operations Manager Vic/TAS & SA","0437 553 792","PO BOX 197, WYNNUM QLD 4178&nbsp","Road Construction: R5; Bridge Construction: B4; Financial: F150+","B4, F150+, R5","B"
"Bonacci Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/638a696ad67b0948ca256d0a00073ab5?OpenDocument","Cached","2026-01-21 15:55:53","Bonacci Group Pty Ltd","(03) 9418 4000","(03) 9418 4001","50 Hoddle Street, ABBOTSFORD VIC 3067","Mr Enrico Catania","Principal","0499 399 443","""As Above""&nbsp",,"ROAD, RR, SS, STRUCTURES-SIMPLE, UR","B"
"Boral Asphalt (Vic)**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9e06a6b826317d5fca256d0b0016c5e5?OpenDocument","Cached","2026-01-21 15:55:54","Boral Resources (Vic) Pty Ltd","(03) 99812912","no fax","251 - 259 Salmon Street, PORT MELBOURNE VIC 3207","Mr Eric Clauss","General Manager, Victoria","0429 603 813","Locked Bag 3 , PORT MELBOURNE VIC 3207&nbsp",,"BW, M2-BW, M2-PW, M2-RW, M3, ND3, PW, RM3, ROAD, RPD, RSA, RSS, RW, SEAL","B"
"Border Traffic Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5a2e4fd76e1cc51cca257ec2000a6dd5?OpenDocument","Cached","2026-01-21 15:55:54","Border Traffic Solutions Pty Ltd",,,"4A Mores Court, WODONGA VIC 3690","Mr Allen Taylor","Manager","0418 663 599","""As Above"", &nbsp",,,"B"
"Bosco Civil P/L","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9d3f7315f38e1410ca257cc800193e80?OpenDocument","Cached","2026-01-21 15:55:55","Bosco Civil P/L","(03) 9416 7771","(03) 9416 7772","358-360 Rossmoyne Street, THORNBURY VIC 3126","Mr Claud Bosco","Managing Director","0411 100 817","P O Box 351, Canterbury, VIC &nbsp",,,"B"
"Bost Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4912923eee284a53ca257e73001a5cd8?OpenDocument","Error","2026-01-21 15:59:21",,,,,,,,,,,"B"
"Bouygues Construction Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4e603016d19e8d28ca257cb000238339?OpenDocument","Cached","2026-01-21 15:56:16","Bouygues Construction Australia Pty Ltd","02 8458 1211","02 8458 1201","Level 9, 558 Pacific Highway, St Leonards, NSW 2065","Mr Ritchie Green","QSE Manager","0428 635 104","""As Above"", &nbsp","Road Construction: R5; Bridge Construction: B4; Financial: F150+","B4, F150+, R5","B"
"BPG Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1d5969fd5b2e2414ca257cf900015c08?OpenDocument","Cached","2026-01-21 15:56:16","BPG Civil Pty Ltd","(03) 9230 2901","(03) 9230 2999","3/2 Roche Street, HAWTHORN VIC 3122","Mr Ryan Pritchard","Administration Manager","0411528577","P O Box 6039, Hawthorn West VIC , 3122&nbsp","Road Construction: R1; Financial: F075","F075, R1","B"
"Braums Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2099547284b20ff3ca25846b00823f35?OpenDocument","Cached","2026-01-21 15:56:17","Braums Pty Ltd","02 9684 3300","02 9684 3390","Unit N 10-16 South Street, RYDALMERE NSW 2116","Mr Dan Youngman","General Manager","+61 414 333 468","""As Above"", &nbsp",,"OF, ON, ON-ROAD, ROAD, SOED","B"
"Breese Pitt Dixon Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/74d11910337e5a8dca256d0a00073b2d?OpenDocument","Cached","2026-01-21 15:56:18","Breese Pitt Dixon Pty Ltd","03 8823 2300","03 8823 2310","1/19 Cato Street, HAWTHORN EAST VIC 3123","Mr Darren Barker","Director",,"Box No. 2096 , HAWTHORN LICENSED POST OFFICE HAWTHORN VIC 3122&nbsp",,"H-SIMPLE, ROAD, RR, SH, UR","B"
"Brefni Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7e36232483906a26ca2584c10010422d?OpenDocument","Cached","2026-01-21 15:56:18","Brefni Pty Ltd","02 4677 3456","02 4677 3457","Unit 5, 11 McPherson Road, SMEATON GRANGE NSW 2567","Mr Tom Brady","Director","0408 413 707","PO Box 1303, NARELLAN NSW 2567&nbsp","Road Construction: R2; Bridge Construction: B1; Financial: F050","B1, F050, R2","B"
"Brencon Traffic Solutions**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d9bdb57eec1566a1ca25827900044f16?OpenDocument","Cached","2026-01-21 15:56:19","Brennan Contracting Pty Ltd","(03) 5964 2710",,"604 Warburton Hwy, SEVILLE VIC 3139","Mr Mick Brennan","Director","0174 350 515","""As Above"", &nbsp",,,"B"
"Brett Lane &amp; Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/710752667efb891aca256d0a00073b3a?OpenDocument","Cached","2026-01-21 15:56:19","Brett Lane & Associates Pty Ltd","(03) 9815 2111","(03) 9815 2685","25 Burwood Road, HAWTHORN VIC 3122","Mr Brett Lane","Director","0418 110 324","P O BOX 74, RICHMOND VIC 3121&nbsp",,"AFF, AND, E-AFF, E-TFL, GAIN, NET, TFL","B"
"Bridge and Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cc4c71e578ce0e0cca2583370004c52d?OpenDocument","Cached","2026-01-21 15:56:20","Bridge and Civil Pty Ltd","0400 501 055","N/A","243 Bellewood Road, ARMIDALE NSW 2350","Mr Bob Simpkins","Director","0400 501 055","PO Box 2016, ARMIDALE NSW 2350&nbsp","Road Construction: R2; Bridge Construction: B3; Financial: F005","B3, F005, R2","B"
"Bridge and Marine Engineering Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a3476836c01d8251ca256d0a00073b63?OpenDocument","Cached","2026-01-21 15:56:21","Bridge and Marine Engineering Pty Ltd","(03) 9363 7474","(03) 9363 8753","Level 5, 488 Bourke Street, Melbourne VIC 3000","Mr John Thomas","Managing Director","0429 363 741","P O Box 550, NORTHCOTE VIC 3070&nbsp",,"CS, PE, SS, STRUCTURES-COMPLEX, STRUCTURES-SIMPLE","B"
"Bridge Inspection Engineers Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/bebb1dc96fe4dfc2ca258b240007811d?OpenDocument","Cached","2026-01-21 15:56:21","Bridge Inspection Engineers Pty Ltd",,,"16 Martine Court, Hoppers Crossing VIC 3029","Mr Bishwo Khanal","Director","0424 011 689","""As Above"", &nbsp",,"BI2","B"
"Bromar Electrical (Aust) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/662599f64bba0530ca2579ad00130ce9?OpenDocument","Cached","2026-01-21 15:56:22","Bromar Electrical (Aust) Pty Ltd","(03) 9335 5344","(03) 9335 5322","2/98 - 108 Western Ave, WESTMEADOWS, VIC 3049","Mr Tim Purdy","General Manager","0400 344 674","""As Above"", &nbsp",,"SSLC, STCE","B"
"Brownes Plumbing Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1afb5539d378266eca25821a0023b70e?OpenDocument","Cached","2026-01-21 15:56:22","Brownes Plumbing Pty Ltd","(03) 9715 1516","(03) 9715 1516","Unit 1/11 Beech Street, WHITTLESEA VIC 3757","Ms Emma Van Der Pluym","Admin Manager","0418 357 549","PO BOX 217, WHITTLESEA VIC 3757&nbsp",,"WORKS-MINOR","B"
"BSC Consulting Engineers Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5d6b50a5a9612f9bca256d0a00073bd7?OpenDocument","Cached","2026-01-21 15:56:23","BSC Consulting Engineers Pty Ltd","9850 3212","9850 1633","37 Macedon Road, LOWER TEMPLESTOWE VIC 3107","Mr Harry Carlin-Smith","Managing Director","0407 818 980","PO BOX 2010, Templestowe Heights 3107&nbsp",,"SS, STRUCTURES-SIMPLE","B"
"BSECC Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/40e06956f99923d0ca2582f900184181?OpenDocument","Cached","2026-01-21 15:56:24","BSECC Pty Ltd","0419 591 647",,"88 Wharparilla Drive, ECHUCA VIC 3564","Mr Brett Sheldon","Director","0419 591 647","""As Above"", &nbsp",,"SSLC, STCE","B"
"Buildcorp Commercial Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/60e31de26b21680bca257d9a0025f0d2?OpenDocument","Cached","2026-01-21 15:56:24","Buildcorp Commercial Pty Ltd","(03) 9830 7788","(03) 9830 7799","23 Shierlaw Avenue, CANTERBURY VIC 3136","Mr Anthony Perkovic","HSE Manager","0488 001 331","P O Box 241, CANTERBURY VIC 2136&nbsp",,,"B"
"Builders Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/333d1403dec3eac0ca25853f0001599b?OpenDocument","Cached","2026-01-21 15:56:25","Builders Traffic Management Pty Ltd",,,"27 Quality Drive, DANDENONG SOUTH VIC 3175","Mr Mick Fisher","Operations Manager","0437 257 639","""As Above"", &nbsp",,,"B"
"Built Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6428af44e8260c29ca25876e001aa6f8?OpenDocument","Cached","2026-01-21 15:56:25","Built Pty Ltd","03 9926 1900","03 9926 1966","Level 17 , 2 Southbank Boulevard, SOUTHBANK VIC 3006","Mr Nicholas Grady","HSE Advisor","0435 843 732","""As Above"", &nbsp",,,"B"
"Built Vic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9d9301412ab6813eca25809200198ee4?OpenDocument","Cached","2026-01-21 15:56:26","Built Vic Pty Ltd","(03) 9926 1900","(03) 9926 1966","Level 1, 163 Clarendon Street, SOUTH MELBOURNE VIC 3205","Mr Peter Radovanovic","Construction Director",,"""As Above"", &nbsp",,,"B"
