"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","Mobile_No_","PostalAddress","Email","Maintenance_and_General_Works_Group","PrequalificationCategories","Letter"
"Total Property Developments (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c9b173db5afd4dbfca257c2400157b45?OpenDocument","Cached","2025-09-12 10:46:51","Total Property Developments (Vic) Pty Ltd","(03) 5443 7977","(02) 8282 4755","444 Hargreaves Street, BENDIGO VIC 3552","Mr Damien Cranage","Director","0413 383 498","P O Box 1278, Bendigo, VIC 3550&nbsp","damien@totalpd.com.au",,"H-SIMPLE, ROAD, RR, SH, UR","T"
"Total Traffic Management**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1f08825d47fb69eaca258066001a929e?OpenDocument","Cached","2025-09-12 10:46:52","PMBL Pty Ltd",,,"4/5 Kilmarnock Court, HOPPERS CROSSING VIC 3029","Ms Lauren Fisher","Office Admin","0498 666 444","P O Box 56, WERRIBEE VIC &nbsp","ttm@totaltraffic.com.au",,,"T"
"Towong Shire Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d91dd5c2467ea516ca257f65001a2b35?OpenDocument","Cached","2025-09-12 10:46:53","Towong Shire Council","(02) 6071 5100","(02) 6071 2747","32 Towong Street, TALLANGATTA VIC 3700","Mr Wayne Carter","OHS & Risk Officer","0499 999 605","P O Box 55, TALLANGATTA VIC 3700&nbsp","info@towong.vic.gov.au",,,"T"
"Tracey Brunstrom &amp; Hammond Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a17f7be9e69439f1ca258203001559f8?OpenDocument","Cached","2025-09-12 10:46:53","Tracey Brunstrom & Hammond Pty Ltd","(03) 8692 9800","(03) 8692 9899","Lvl 17, 500 Collins Street, MELBOURNE VIC 3000","Mr Jiong Zhu","Director","0411 360 199","""As Above"", &nbsp","jiongz@tbh.com.au",,"CE, COST","T"
"Tract Consultants Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2a0bb2624cef57b3ca256d0a000763bb?OpenDocument","Cached","2025-09-12 10:46:54","Tract Consultants Pty Ltd","9429 6133","9429 5925","195 Lennox Street, Richmond VIC 3121","Mr Deiter Lim","Managing Director / Landscape Architect","0418 599 486","""As Above""&nbsp","melbourne@tract.net.au",,"AND, LVI, PSAD","T"
"Tradetech Services (Aust) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b2616b47ff33851dca257ffb00205aa8?OpenDocument","Cached","2025-09-12 10:46:54","Tradetech Services (Aust) Pty Ltd","9440 7500","9440 7600","10 Water Road, PRESTON VIC 3072","Ms Jane Emmerson","Administration Manager","0418 572 367","PO Box 2015, IVANHOE EAST 3079&nbsp","admin@tradetechservices.com.au","General Works: General Works-Minor (G1)","STCE, WORKS-MINOR","T"
"Traffcorp Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cb34b11d4e0f9223ca25849d0017f1c6?OpenDocument","Cached","2025-09-12 10:46:55","Traffcorp Pty Ltd",,,"270 Power Road, ENDEAVOUR HILLS VIC 3802","Mr Munir Ismail Kakar","Construction Manager & QSE Manager","0449 177 864","""As Above"", &nbsp","michael@moconconstructiongroup.com.au",,,"T"
"Traffic Australia (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cb329d1cc31b6e72ca257e11007cf2f6?OpenDocument","Cached","2025-09-12 10:46:56","Traffic Australia (Vic) Pty Ltd","(03) 5446 1300","(03) 5446 1400","Factory 1/13 Baldock Court, EAGLEHAWK VIC 3556","Mr Bill Tilbbett","Operations Manager","0447 256 104","""As Above"", &nbsp","admin@trafficaus.com",,,"T"
"Traffic Boss**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/04b7577f6f4ce588ca25816100227e2b?OpenDocument","Cached","2025-09-12 10:46:56","Harrington Traffic Control Pty Ltd",,,"19 Tynan Road, TABLE TOP NSW 2640","Mr Jack Harrington","Director","0414 503 466","""As Above"", &nbsp","jack@trafficboss.com.au",,,"T"
"Traffic Control Victoria Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/325c99118b96f41bca25784f0006efc8?OpenDocument","Cached","2025-09-12 10:46:57","Traffic Control Victoria Pty Ltd","1300 239 502",,"75 Hudson Court, Keysborough VIC 3173","Mr Trent Makin","Senior Operations manager","0417 555 732","75 Hudson Court, Keysborough VIC &nbsp","admin@tcvictoria.com.au",,,"T"
"Traffic Diversions Group**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3db8884ed42872f6ca257aa3001985b7?OpenDocument","Cached","2025-09-12 10:46:58","PTS Premium Traffic Solutions Pty Ltd","(03) 8782 0150, 1300 482 287","(03) 9364 9329","1 Jamieson Way, Dandenong South VIC 3175","Mr Ross McDonald","Director","0402 315 908","""As Above"", &nbsp","opsmanagers@trafficdiversions.com.au",,,"T"
"Traffic Group Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/731bf0eeffe55921ca25776d0020ae1b?OpenDocument","Cached","2025-09-12 10:46:58","Traffic Group Australia Pty Ltd",,,"44 Abbotts Road, Dandenong South VIC 3175","Mr Jason Hickey","Victorian Branch Manager","0419 808 855","""As Above"", &nbsp","Vicjobs@trafficgrp.com.au",,,"T"
"Traffic Management Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1bd183fc01ac079fca2586a900134573?OpenDocument","Cached","2025-09-12 10:46:59","Traffic Management Solutions Pty Ltd",,,"Suite 419, St Kilda Road Towers, 1 Queen Road, MELBOURNE VIC 3004","Mr Manoj Dhanorkar","Direcor and Principal Engineer","0414 446 423","""As Above""&nbsp","manoj@trafficmanagementsolutions.com.au",,"ROAD","T"
"Traffic Plans Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/937f1e217d89d33bca25822f000ed373?OpenDocument","Cached","2025-09-12 10:46:59","Traffic Plans Australia Pty Ltd",,,"Level 5, 850 Collins Street , Docklands 8012","Mr Mark Stevens","National Operations Manager",,"PO Box 23350, Docklands 8012 Victoria, &nbsp","info@trafficplansaus.com.au",,,"T"
"Traffic Solutions Victoria**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/265e42738142890eca25851a000003ed?OpenDocument","Cached","2025-09-12 10:47:00","A1Tree Solutions Pty Ltd",,,"19 Kennedy's Drive, DELCOMBE VIC 3356","Mr Dale Smith","Business Manager","0428 588 077","PO Box 1525, BAKERY HILL vic 3354&nbsp","dale@a1trees.net",,,"T"
"Traffic Technique Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4266a3248032fd03ca257988001ec486?OpenDocument","Cached","2025-09-12 10:47:01","Traffic Technique Pty Ltd","0459 020 633",,"236 - 238 Princes Way, DROUIN VIC 3818","Ms Kate Taylor","Operations Manager","0417 286 983","PO Box 677, DROUIN VIC 3820&nbsp","admin@traftech.com.au",,,"T"
"Traffic Utility Services**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/551d57d039e5b0c7ca25802900197087?OpenDocument","Cached","2025-09-12 10:47:01","Crackshot Boring Pty Ltd","(03) 9333 0246","(03) 9331 4899",",","Mr Ben Koutoukidis",,,"PO BOX 839, MOONEE PONDS VIC 3039&nbsp","traffic@tus.com.au",,,"T"
"Traffic Zone Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5e379bdb85ad294dca257c400011a250?OpenDocument","Cached","2025-09-12 10:47:02","Traffic Zone Pty Ltd","(03)  9499 3255",,"173 Christmas Street, Alphington, Vic 3076","Mr John Danopoulos","Managing Director","0419 504 487","""As Above"", &nbsp","john@traffic-zone.com.au",,,"T"
"Trafficca Road Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/de6f6df5eebf1fa9ca258074007a1674?OpenDocument","Cached","2025-09-12 10:47:03","Trafficca Road Services Pty Ltd","(03) 8750 0920","(03) 8750 0921","46 Abbotts Road, DANDENONG SOUTH VIC 3175","Mr","General Manager Road Services",,"""As Above"", &nbsp","alan.davidson@trafficca.com.au",,,"T"
"Trafficking**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ea6ad25690208781ca257d8700814077?OpenDocument","Cached","2025-09-12 10:47:03","13000 Roads Pty Ltd","1300 076 237","(02) 60212 562","271b Townsend Street, ALBURY NSW 2640","Ms Libby Brooks","Manager",,"P O Box 599, ALBURY NSW 2640&nbsp","admin@trafficking.com.au",,,"T"
"Trafficworks Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3dfa74021754ec06ca25732a000b86a1?OpenDocument","Cached","2025-09-12 10:47:04","Trafficworks Pty Ltd","(03) 9490 5900","(03) 9490 5910","Suite 1 & 2, 132 Upper Heidelberg Road , IVANHOE VIC 3079","Mr Emmanuel Natalizio","Director","0400 639 302","PO Box 417, IVANHOE VIC 3079&nbsp","admin@trafficworks.com.au",,"DSD, HC, PAM, PRS, ROAD, TAR, TLD, TOF, TOS, TPF, TSD, TTF","T"
"Traffic.Com.Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/42f52d0d41b3f22cca257beb00254c64?OpenDocument","Cached","2025-09-12 10:47:05","Traffic.Com.Pty Ltd",,,"Shed 13/3 Muller Street, Baranduda, VIC 3691","Mr Kane Brown","Managing Director","0481392213","P O Box 510 , Wodonga Vic 3689&nbsp","traffic.com@icloud.com",,,"T"
"Traffix Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/95ebe66a4058c4d1ca256d0a0007645e?OpenDocument","Cached","2025-09-12 10:47:05","Traffix Group Pty Ltd","(03) 9822 2888",,"Level 28, 459 Collins Street, MELBOURNE VIC 3000","Mr Anthony Coyle","Director","0400 188 313","""As Above""&nbsp","anthony@traffixgroup.com.au",,"CCC, COS, CSS, CTM, CTT, DBS, DMR, FIR, FVA, HC, LAND, PAM, PRL, PRN, PRS, ROAD, ST, TAR, TIME, TOF, TOS, TPF, TSD, TSM, TTF, USE","T"
"TraffVic Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/416e85d7c99df1ddca25828f002c3c2f?OpenDocument","Cached","2025-09-12 10:47:06","TraffVic Solutions Pty Ltd",,,"120 Plumpton Road, DIGGERS REST VIC 3427","Mr Scott Eustace","Director","0435 740 032","""As Above"", &nbsp","info@traffvic.com.au",,,"T"
"Trafman Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9833740a36a593c6ca25739900070ffb?OpenDocument","Cached","2025-09-12 10:47:07","Trafman Solutions Pty Ltd","(03) 9358 7770",,"28a Merri Concourse, CAMPBELLFIELD VIC 3061","Mr Aleksovski Jove",,"0448 306 135","""As Above"", &nbsp","info@trafman.com.au",,,"T"
"Trafx Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7b231062ca255012ca257eca0083d2b8?OpenDocument","Cached","2025-09-12 10:47:07","Trafx Pty Ltd",,"(02) 6076 1594","29 Mildren Street, CORRYONG VIC 3707","Mr Martin John Dorman","Managing Director","0427 762 244","P O Box 204, CORRYONG VIC 3707&nbsp","admin@trafx.com.au",,,"T"
"Trans Traffic Survey**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b2206545ec48c5b7ca258198007e1382?OpenDocument","Cached","2025-09-12 10:47:08","BVY Pty Ltd","1300 828 882","1300 838 883","62 Mason Street, NEWPORT VIC 3015","Dr Binh Vo","Project Director","0488 686 686","""As Above"", &nbsp","binh@trafficsurvey.com.au",,"CCC, CCS, COS, CSS, CTM, CTT, DBS, DMR, DSD, TIME","T"
