"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Environment_Group","Biodiversity","PrequalificationCategories","Letter"
"Geocounts Victoria**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8714088c0ad34e5eca25783e00229952?OpenDocument","Fresh","2025-09-12 10:42:10","Traffic and Parking Surveys Pty Ltd&nbsp","Geocounts Victoria&nbsp","48 Lincoln Drive Bulleen VIC   3105&nbsp","&quot;As Above&quot; &nbsp","0488 472 093&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, Services, size, Speed, src, static, Stephen, strong, Studies, style, supplierdetails, Surveys","G"
"Geocounts Victoria**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/720dab29f08c0bc5ca257e70001bcb47?OpenDocument","Cached","2025-09-12 10:42:10","Traffic and Parking Surveys Pty Ltd&nbsp","Geocounts Victoria&nbsp","48 Lincoln Drive Bulleen VIC   3105&nbsp","&quot;As Above&quot; &nbsp","0488 472 093&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, Services, size, Speed, src, static, Stephen, strong, Studies, style, supplierdetails, Surveys","G"
"Georgiou Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e494f12bb37aa52aca2576310015ec5d?OpenDocument","Fresh","2025-09-12 10:42:11","Georgiou Group Pty Ltd&nbsp","&nbsp","Level 3, 51 Berry StreetNORTH SYDNEY NSW   2060&nbsp","P O Box  6193NORTH SYDNEY  NSW 2059&nbsp","0427 253 184&nbsp","[email&#160;protected]&nbsp",,,"Categories: B4, F150, R5, screen, script, scripts, Section, Senior, Service, size, src, static, Street, strong, style, supplierdetails, SYDNEY","G"
"Geotechnical Engineering**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e69e2b50a082cc3aca256d0b0016ee38?OpenDocument","Fresh","2025-09-12 10:42:12","Geotech Pty Ltd&nbsp","Geotechnical Engineering&nbsp","174 Turner StreetPort Melbourne Vic   3207&nbsp","&quot;As Above&quot;&nbsp","+61 401 697 249&nbsp","[email&#160;protected]&nbsp",,,"Categories: B4, F075, M1, R3, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","G"
"Geotechnical Testing Services**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/bd562f4cf92fba11ca25843900057ace?OpenDocument","Fresh","2025-09-12 10:42:12","Sandhurst Geotech Pty Ltd&nbsp","Geotechnical Testing Services&nbsp","Gate 7, 17  Sharon StreetFLORA HILL  VIC   3350&nbsp","PO Box 13STRATHDALE  VIC 3550&nbsp","0468 309 929&nbsp","[email&#160;protected]&nbsp",,,"Categories: Sandhurst, screen, script, scripts, Section, Service, Services, Sharon, size, src, static, STRATHDALE, Street, strong, style, supplierdetails","G"
"Geotesta Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/750365d7ef2500b6ca2572db001ba9d0?OpenDocument","Fresh","2025-09-12 10:42:13","Geotesta Pty Ltd&nbsp","&nbsp","7 Business Park Drive,NOTTING HILL  VIC   3168&nbsp","&quot;As Above&quot;&nbsp","0432 571 139&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Senior, Service, Services, size, Specialists, src, static, strain, strong, style, supplierdetails","G"
"GHD Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/75f8000ed771310cca256d0a00074a60?OpenDocument","Fresh","2025-09-12 10:42:14","GHD Pty Ltd&nbsp","&nbsp","Level 15, 133 Castlereagh StreetSYDNEY NSW   2000&nbsp","Level 9, 180 Londsale StreetMELBOURNE VIC 3000&nbsp","0452 203 088&nbsp","[email&#160;protected]&nbsp","Categories:","Aquatic Flora & Fauna (E-AFF), Aquatic Flora & Fauna (E-AFF), Flora Fauna and Net Gain Assessments (E-TFL), Flora Fauna and Net Gain Assessments (E-TFL)","Categories: Safety, Scheme, Scott, screen, script, scripts, Section, Selby, Senior, Sensitive, Service, Services, SH, Shirra, SI, Signal, Signing, Simple, Simulation, size, Smith, Social, Specialist, Specialists, src, SRSA, SS, ST, Statement, static, Strategic, Strategies, Strategy, Street, strong, Structures, Studies, Study, style, supplierdetails, Survey, SYDNEY, Systems","G"
"Ghella Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/de0d01066413e122ca257ad200707384?OpenDocument","Fresh","2025-09-12 10:42:14","Ghella Pty Ltd&nbsp","&nbsp","Level 15, 97 Creek StreetBRISBANE  QLD    4000&nbsp","P O Box 10663Adelaide StreetBRISBANE, QLD 4000&nbsp","0448 787 104&nbsp","[email&#160;protected]&nbsp",,,"Categories: B4, F150, R5, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","G"
"Gillon Consulting Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6a83222d6dbf5f13ca256d0a00074762?OpenDocument","Fresh","2025-09-12 10:42:15","Gillon Consulting Group Pty Ltd&nbsp","&nbsp","Level 1, 38 Atherton RoadOakleigh, VIC   3166&nbsp","&quot;As Above&quot;&nbsp","0418 872 342&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, Simple, size, src, SS, static, strong, Structures, style, supplierdetails","G"
"Gilmore Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6eab8528fcf33b59ca2582670023924a?OpenDocument","Fresh","2025-09-12 10:42:16","Gilmore Civil Pty Ltd&nbsp","&nbsp","Unit 5/9 Blake StreetMORNINGTON VIC    3931&nbsp","&quot;As Above&quot; &nbsp","0429 552 842&nbsp","[email&#160;protected]&nbsp",,,"Categories: F001, R1, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","G"
"Gippsland Contracting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1cac3d87ab2c76a8ca257b2700174909?OpenDocument","Fresh","2025-09-12 10:42:16","Gippsland Contracting Pty Ltd&nbsp","&nbsp","10 Curtis CloseLeongatha, VIC   3953&nbsp","PO Box 456Leongatha, Vic 3953&nbsp","0408 587 712&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","G"
"Glover Earthmoving Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6824eb118ff98040ca256f89001cf396?OpenDocument","Fresh","2025-09-12 10:42:17","Glover Earthmoving Pty Ltd&nbsp","&nbsp","875 Longerenong RoadLONGERNONG  VIC   3401&nbsp","&quot;As Above&quot; &nbsp","0427 148 185&nbsp","[email&#160;protected] &nbsp",,,"Categories: F002, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","G"
"GLS Nominees Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/845b16fab0e65ba1ca2585f80003c643?OpenDocument","Fresh","2025-09-12 10:42:18","GLS Nominees Pty Ltd&nbsp","&nbsp","9- 11 Tabuteau RoadMOE   VIC   3825&nbsp","PO Box 256MOE   VIC 3825&nbsp","0407 303 197&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","G"
"GMR Engineering Services Unit Trust**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2a0e9aace369bf4aca257aa6007607d1?OpenDocument","Fresh","2025-09-12 10:42:18","GM & FE Ryan Pty Ltd&nbsp","GMR Engineering Services Unit Trust&nbsp","164 Maude StreetShepparaton, VIC    3630&nbsp","PO Box 538Shepparaton, VIC  3632&nbsp","0400 220 333&nbsp","[email&#160;protected].au&nbsp",,,"Categories: screen, script, scripts, Section, Service, Services, Shepparaton, size, src, static, Street, strong, style, supplierdetails","G"
"GND Civil Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1069eeedc00b83b6ca2587b100041cb6?OpenDocument","Fresh","2025-09-12 10:42:19","GND Civil Group Pty Ltd&nbsp","&nbsp","29 Yazaki WayCARRUM DOWNS VIC   3201&nbsp","&quot;As Above&quot; &nbsp","0417 140 445&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","G"
"Go Traffic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3740abeb0b3403ccca2573af0007984b?OpenDocument","Fresh","2025-09-12 10:42:19","Go Traffic Pty Ltd&nbsp","&nbsp","21-23 Gregory AvenueNEWTOWN VIC   3220&nbsp","PO Box 8006NEWTOWN VIC 3220 &nbsp","0408 815 725?&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, Stuart, style, superseded, supplierdetails","G"
"Goldblade Civil Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8bef9bdddcf5e6a6ca25851f00761cd1?OpenDocument","Fresh","2025-09-12 10:42:20","Goldblade Civil Solutions Pty Ltd&nbsp","&nbsp","9 Lindors CloseQUEENSCLIFF  VIC   3225&nbsp","&quot;As Above&quot; &nbsp","0433 484 488&nbsp","[email&#160;protected]&nbsp",,,"Categories: F001, R1, screen, script, scripts, Section, Service, size, Solutions, src, static, strong, style, supplierdetails","G"
"Golder Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b3858652f8d6aa67ca256d0a000747a0?OpenDocument","Fresh","2025-09-12 10:42:21","Golder Associates Pty Ltd&nbsp","&nbsp","Building 7, Botanicca Corporate Park 570 - 588 Swan StreetRichmond   3121&nbsp","PO Box 6079 HAWTHORN WEST VIC 3122&nbsp","0409 176 747 &nbsp","[email&#160;protected]&nbsp","Categories:","Aquatic Flora & Fauna (E-AFF)","Categories: Sajjad, screen, script, scripts, Section, Serhat, Service, Services, size, Specialists, src, Sri, Srithar, static, Street, strong, style, supplierdetails, Swan, Systems","G"
"Goldsmith Civil &amp; Environmental Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/eaca9c7e065e5f30ca25760a0009e801?OpenDocument","Fresh","2025-09-12 10:42:21","Goldsmith Civil & Environmental Pty Ltd&nbsp","&nbsp","5 Norman RoadLEONGATHA  VIC   3953&nbsp","PO Box 567LEONGATHA  VIC 3953&nbsp","0428 513 803&nbsp","[email&#160;protected]&nbsp",,,"Categories: B1, F020, R3, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","G"
"Goulburn Valley Linemarking Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/716b9606ad271fcaca257afb007f6676?OpenDocument","Fresh","2025-09-12 10:42:22","Goulburn Valley Linemarking Pty Ltd&nbsp","&nbsp","49 Halpin CrescentShepparton, VIC    3630&nbsp","&quot;As Above&quot; &nbsp","0417 014 116&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, Shepparton, size, src, static, strong, style, superseded, supplierdetails","G"
"GPR Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/18f30ff55103ea66ca2577bc001b5994?OpenDocument","Fresh","2025-09-12 10:42:23","GPR Consulting Pty Ltd&nbsp","&nbsp","217/202 Jells RoadWHEELERS HILL   3150&nbsp","&quot;As Above&quot; &nbsp","0457 414 958&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","G"
"GRA Networks**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5b37f26b427f6ca6ca257d400024b8ae?OpenDocument","Fresh","2025-09-12 10:42:23","Global Rail Australia Pty Ltd&nbsp","GRA Networks&nbsp","Unit 8, 42-44 GardenBoulevardDingley Village, VIC   3172&nbsp","&quot;As Above&quot; &nbsp","0415 075 674&nbsp","[email&#160;protected]&nbsp",,,"Categories: M1, M2-BW, screen, script, scripts, SE, Section, Service, Shelvin, Sign, size, src, static, strong, style, supplierdetails","G"
"Gradient Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3f35c6f45ff91177ca2582b100196ca4?OpenDocument","Fresh","2025-09-12 10:42:24","Gradient Group Pty Ltd&nbsp","&nbsp","Unit 22, 73 Assembly DriveDANDENONG SOUTH  VIC   3175&nbsp","&quot;As Above&quot; &nbsp","0434 853 166&nbsp","[email&#160;protected] &nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, SOUTH, src, static, strong, style, superseded, supplierdetails","G"
"Graeme P Walter Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c642b6e0228bbd7bca2571e6001ece94?OpenDocument","Fresh","2025-09-12 10:42:24","Graeme P Walter Pty Ltd&nbsp","&nbsp","629 Elgar RoadMont Albert North,  VIC   3129&nbsp","&quot;As Above&quot; &nbsp","0418 577 262&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, SH, Simple, size, Specialists, src, static, strong, Structures, style, supplierdetails","G"
"Graham Foley &amp; Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c30ee25b02e8ee46ca256d0a00074895?OpenDocument","Fresh","2025-09-12 10:42:25","Graham Foley & Associates Pty Ltd&nbsp","&nbsp","21 Ferrars PlaceSOUTH MELBOURNE VIC   3205&nbsp","&quot;As Above&quot;&nbsp","0405 058 687&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, size, SOUTH, src, static, strong, style, supplierdetails","G"
"Green by Nature Landscape Services (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7e50b29cc7dddba7ca258cd8001870bc?OpenDocument","Fresh","2025-09-12 10:42:26","Green by Nature Landscape Services (Vic) Pty Ltd&nbsp","&nbsp","5 Fowler RoadDANDENONG SOUTH  VIC   3175&nbsp","&quot;As Above&quot; &nbsp","0424 136 223&nbsp","[email&#160;protected]&nbsp",,,"Categories: M2-RW, screen, script, scripts, Section, Service, Services, size, SOUTH, src, State, static, strong, style, supplierdetails","G"
"Greenhall Asphalt Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a01ec5b9b123d0e2ca257c890018b28e?OpenDocument","Fresh","2025-09-12 10:42:26","Greenhall Asphalt Pty Ltd&nbsp","&nbsp","28 Capital DriveGrovedale, VIC   3216&nbsp","P O Box 1091Grovedale, VIC 3216&nbsp","0416 257 945&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails, Surfacing","G"
"Greg's Digging Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d03b52bfde93aaedca257bc1002aa118?OpenDocument","Fresh","2025-09-12 10:42:27","Greg's Digging Pty Ltd&nbsp","&nbsp","82 Cumming AvenueBIRCHIP, VIC   3483&nbsp","&quot;As Above&quot; &nbsp","0417 381 851&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","G"
"Greg Schofield &amp; Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7e4eab58fd3696b9ca257c7c001113a0?OpenDocument","Fresh","2025-09-12 10:42:28","Greg Schofield & Associates Pty Ltd&nbsp","&nbsp","20 High StreetGlen Iris Vic   3146&nbsp","&quot;As Above&quot; &nbsp","0417 581 402&nbsp","[email&#160;protected]&nbsp",,,"Categories: Schofield, screen, script, scripts, Section, Service, Simple, size, src, SS, static, Street, strong, Structures, style, supplierdetails","G"
"Ground Science Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a469fea0f95508a1ca25778c000ccd3c?OpenDocument","Fresh","2025-09-12 10:42:28","Ground Science Pty Ltd&nbsp","&nbsp","13 Brock StreetTHOMASTOWN   VIC   3074&nbsp","&quot;As Above&quot; &nbsp","0450 925 137&nbsp","[email&#160;protected]&nbsp",,,"Categories: Science, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","G"
"GS Engineering &amp; Construction Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b3359add67f773f5ca25841e001f9cc3?OpenDocument","Fresh","2025-09-12 10:42:29","GS Engineering & Construction Australia Pty Ltd&nbsp","&nbsp","Level 19, 570 Bourke StreetMELBOURNE VIC   3000&nbsp","&quot;As Above&quot; &nbsp","0420 963 199&nbsp","[email&#160;protected]&nbsp",,,"Categories: B4, F150, R5, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails","G"
"GTE Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/32a503c0639b67ecca25778800819864?OpenDocument","Fresh","2025-09-12 10:42:30","GTE Traffic Management Pty Ltd&nbsp","&nbsp","Level 1, Office A5, 1-13 The GatewayBROADMEADOWS  VIC    3047&nbsp","&quot;As Above&quot; &nbsp","0409100475&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, Supervisor, supplierdetails","G"
"Gulf Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5e5105b0c6ace3d0ca258b4100005668?OpenDocument","Fresh","2025-09-12 10:42:30","Gulf Civil Pty Ltd&nbsp","&nbsp","Unit 13 & 14/12 Discovery DriveNorth Lakes QLD   4509&nbsp","&quot;As Above&quot; &nbsp","0428 340 636&nbsp","[email&#160;protected]&nbsp",,,"Categories: B1, F015, R2, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","G"
"GW &amp; BR Crameri Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5bba86789f0e3952ca256d6a0023fa9b?OpenDocument","Fresh","2025-09-12 10:42:31","GW & BR Crameri Pty Ltd&nbsp","&nbsp","157 Merriang RoadMYRTLEFORD  VIC   3737&nbsp","PO Box 269 MYRTLEFORD  VIC 3736&nbsp","0408 573 241&nbsp","[email&#160;protected]&nbsp",,,"Categories: F001, M2, M2-BW, M2-PW, M2-RW, R2, screen, script, scripts, Seal, Secretary, Section, Service, size, Sprayed, src, static, strong, style, supervision, supplierdetails, Surfacing","G"
"GPE Electrical &amp; Communications Contractor Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8d171c0120fe33f0ca2571a30005a50f?OpenDocument","Fresh","2025-09-12 10:42:31","GPE Electrical & Communications Contractor Pty Ltd&nbsp","&nbsp","12 Bennu CircuitALBURY  NSW   2640&nbsp","PO Box 7185ALBURY NSW 2640&nbsp","0418452012&nbsp","[email&#160;protected]&nbsp",,,"Categories: screen, script, scripts, Section, Service, Services, size, src, static, strong, style, supplierdetails","G"
