"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","PostalAddress","Email","Road_and_Bridge_Construction_Group","PrequalificationCategories","Letter"
"Ecology and Heritage Partners Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/aaca2e29b189f0a5ca256ff600282bfc?OpenDocument","Cached","2025-09-12 10:41:25","Ecology and Heritage Partners Pty Ltd","(03) 9377 0100","(03)9377 0199","292 Mount Alexander Road, Ascot Vale, VIC 3032","Mr Andrew Hill","Director/Principal Ecologist","""As Above""&nbsp","admin@ehpartners.com.au",,"AFF, AND, E-AFF, E-TFL, GAIN, NET, TFL","E"
"Ecology Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/67f2655617d05ff0ca256d0a0007438e?OpenDocument","Cached","2025-09-12 10:41:26","Ecology Australia Pty Ltd","(03) 9489 4191",,"2/1 Latitude Boulevard, THOMASTOWN VIC 3074","Mr Chris Bloink","Director / Company Secretary","""As Above""&nbsp","admin@ecologyaustralia.com.au",,"AFF, AND, E-AFF, E-TFL, GAIN, NET, TFL","E"
"Ecosystems Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e5dc8b855022129eca257199000e570e?OpenDocument","Cached","2025-09-12 10:41:26","Ecosystems Management Pty Ltd","(03) 5153 1744","(03) 5153 1743","319 Main Street, BAIRNSDALE VIC 3875","Mr Ian Long","Managing Director","PO BOX 1288, BAIRNSDALE VIC 3875&nbsp","admin@ecosys.net.au",,"AND, E-TFL, GAIN, NET, TFL","E"
"EDG Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6acb39143b6916edca2583ee000c10c6?OpenDocument","Cached","2025-09-12 10:41:27","EDG Consulting Pty Ltd",,,"Level 1, 18 Wandoo Street, FORTITUDE VALLEY QLD 4006","Mr Greg Hackney","Director, Principal Engineer","""As Above"", &nbsp","greg.hackney@edgconsult.com.au",,"DES, GT, GT-DES, GT-INV, INV","E"
"EIC Activities Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9873cf085a60b491ca258935007d9b1a?OpenDocument","Cached","2025-09-12 10:41:28","EIC Activities Pty Ltd",,,"Level 6, 567 Collins Street, MELBOURNE VIC 3000","Mr Jawad Zeerak","Associate Principal-Geotechnics","""As Above"", &nbsp","Jawad.zeerak@eicactiv.com",,"DES, GT, GT-DES, SS, STRUCTURES-SIMPLE","E"
"Eifer's Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0522b02295e74752ca2580450004d015?OpenDocument","Cached","2025-09-12 10:41:28","Eifer's Civil Pty Ltd","(03) 9357 6360","(03) 9011 6157","13 Newmarket Lane, EPPING VIC 3076","Mr Daniel Eifermann","Director","""As Above"", &nbsp","admin@eiferscivil.com.au","Road Construction: R3; Bridge Construction: B2; Financial: F005","B2, F005, M1, M2-PW, PW, R3, WORKS-MINOR","E"
"Electel Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6f0b548f73948510ca256d5800020f33?OpenDocument","Cached","2025-09-12 10:41:29","Electel Pty Ltd","(03) 5174 5909","(03) 5174 0130","169 Argyle Street, TRARALGON VIC 3844","Mrs Christine Williams","Office Manager","""As Above""&nbsp","admin@electel.net.au",,"SSLC, STCE, STS, STS1, STS2","E"
"Elite Crossings Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8da04a72812656ffca25829d0005beef?OpenDocument","Cached","2025-09-12 10:41:30","Elite Crossings Pty Ltd",,,"Factory 2, 2-6 Wanrua Street, CHELTENHAM VIC 3192","Mr Scott Nish","Director","""As Above"", &nbsp","sdnish@elitecrossings.com","Bridge Construction: B1; Financial: F001","B1, F001","E"
"Elite Roads Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3e61d814909dcbe2ca257ea400156084?OpenDocument","Cached","2025-09-12 10:41:30","Elite Roads Pty Ltd","(03) 8866 1553",,"42-44 Aylesbury Drive, ALTONA VIC 3018","Chris McBride","Business Development Manager","""As Above"", &nbsp","chris@eliteroads.com.au",,"ROAD, RSA","E"
"Emmit Utilities Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/98ede6c05adfe445ca258742002b83be?OpenDocument","Cached","2025-09-12 10:41:31","Emmit Utilities Pty Ltd","03 5442 4861",,"100 Nolan Street, BENDIGO VIC 3550","Mr Peter Dutton","Area Manager","""As Above"", &nbsp","peter@emmitts.com.au",,,"E"
"Empower Engineers &amp; Project Managers Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4b238d5725816794ca2583d90021125b?OpenDocument","Cached","2025-09-12 10:41:31","Empower Engineers & Project Managers Pty Ltd","03 9811 3444","03 8668 1394","Ground Floor 24-30 Camberwell Road, Hawthorn East VIC 3123","Mr Matthew Beggs","National General Manager","PO Box 1128 , Camberwell, VIC 3124&nbsp","matthew.beggs@eepm.com.au",,"H-SIMPLE, ROAD, RR, SH","E"
"Enex Traffic Systems**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8b25fe85c5e6b7a7ca257ad000215555?OpenDocument","Cached","2025-09-12 10:41:32","Enex Pty Ltd",,,"Factory 10, 355-365 South Gippsland Highway, DANDENONG VIC 3175","Mr Kire Terzievski","General Manager","P O Box 45, YARRAMBAT VIC 3091&nbsp","Kire.Terzievski@enex.com.au",,,"E"
"Engineering Road Safety Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/584508c4ed0b6883ca258b4700143a75?OpenDocument","Cached","2025-09-12 10:41:33","Engineering Road Safety Pty Ltd","(03) 9193 9046",,"32 Bridge Street, Port Melbourne Vic 3207","Mr Domenic Gangi","Director","""As Above"", &nbsp","domenic.gangi@engineeringroadsafety.com.au",,"ROAD","E"
"Enoch Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/97d04a641f0b7f64ca256f2c00270dc0?OpenDocument","Cached","2025-09-12 10:41:33","Enoch Civil Pty Ltd","(03) 5338 2499",,"7 Golden Crescent, BALLARAT VIC 3350","Mr Cameron Bowers","Director","""As Above""&nbsp","cameron@enochcivil.com.au","Road Construction: R3; Bridge Construction: B2; Financial: F005","B2, F005, R3, WORKS-MINOR","E"
"Entracon Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8de7e60bcf356240ca2574b10008dba8?OpenDocument","Cached","2025-09-12 10:41:34","Entracon Civil Pty Ltd","(03) 8786 3700",,"105 Fox Drive, DANDENONG SOUTH VIC 3175","Mr Christopher Therios","Project Manager","""As Above""&nbsp","c.therios@entracon.com.au","Road Construction: R2; Bridge Construction: B1; Financial: F010","B1, F010, NW, R2, WALL","E"
"EnviroRisk Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/09e27a613ec02617ca256d0a00074587?OpenDocument","Cached","2025-09-12 10:41:35","EnviroRisk Management Pty Ltd","(03) 5282 3773","(03) 5282 4430","30 Kees Road, LARA VIC 3212","Mr Stephen Jenkins","Director","P O Box 183, LARA VIC 3212&nbsp","sjenkins@envirorisk.com.au",,"EAC, E-EAC, E-EMS, EMS","E"
"Epsicon Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d67714e89d4214b8ca2585140015a978?OpenDocument","Cached","2025-09-12 10:41:35","Epsicon Pty Ltd","03 8752 0297",,"44 George Chudleigh Drive, HALLAM VIC 3803","Mr Charama Wimalasena","Director","""As Above"", &nbsp","chamara@epsicon.com.au",,,"E"
"EPTEC Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/bf7f7d4abc780d12ca257f2900808216?OpenDocument","Cached","2025-09-12 10:41:36","EPTEC Services Pty Ltd","(02) 9034 6969",,"68 Waterloo Road, MACQUARIE CENTRE NSW 2113","Mr Tim Billing",,"P O Box 4067, MACQUARIE CENTRE NSW 2113&nbsp","eptec@eptec.com.au","Bridge Construction: B1; Financial: F050","B1, F050","E"
"ERM**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f03b5ab13add1d33ca256da4001ad032?OpenDocument","Cached","2025-09-12 10:41:36","Environmental Resources Management Australia Pty Ltd","(03) 9696 8011","(03) 9696 8022","Level 9, 501 Swanston Street , MELBOURNE VIC 3000","Ms Jenny Luk","Partner","PO BOX 266, SOUTH MELBOURNE VIC 3205&nbsp","ERM.ANZSupportServicesMailbox@erm.com",,"AFF, AIR, AND, AQMD, E-AFF, E-AQMD, E-EMS, EES, EESM, EESW, EMS, EPM, E-TFL, GAIN, LVI, NET, PAR, PSA, PSAD, PSAM, TFL","E"
"Ertech Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/102d947577cd6caeca25805100782b87?OpenDocument","Cached","2025-09-12 10:41:37","Ertech Pty Ltd","(08) 9302 6666","(08) 9302 6100","118 Motivational Drive , WANGARA WA 6065","Mr Mick Unger","Executive General Manager","P O Box 1384, WANGARA WA 6947&nbsp","bidadmin@ertech.com.au","Road Construction: R4; Bridge Construction: B2; Financial: F150+","B2, F150+, R4","E"
"Ertech (Queensland) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/110f1a6c90c1222aca25841200063d45?OpenDocument","Cached","2025-09-12 10:41:38","Ertech (Queensland) Pty Ltd","(07) 3376 3655",,"16 Staple Street, SEVENTTEN MILE ROCKS QLD 4073","Mr Cynthia Ainassaari","Contracts Officer","""As Above"", &nbsp","info@ertechqld.com.au","Road Construction: R4; Bridge Construction: B4; Financial: F150+","B4, F150+, R4","E"
"ESR Transport Planning Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b26cb6f2087f7bcfca258ba2007c474e?OpenDocument","Cached","2025-09-12 10:41:38","ESR Transport Planning Pty Ltd",,,"12 Anderson Street West, Ballarat Central 3350","Mr Drew Mathews","Director","PO Box 146, Smythesdale Vic 3351&nbsp","drewm@esrtp.com.au",,"PAM, PRL, PRN, ROAD","E"
"Etheredge Mintern Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a01d9109a83d066aca256f8e0024f11f?OpenDocument","Cached","2025-09-12 10:41:39","Etheredge Mintern Pty Ltd","(03) 9761 7145",,"3a, 217-219 Colchester Rd, KILSYTH VIC 3137","Mr Aris Voulanas","Business Development Manager","""As Above"", &nbsp","aris@ethmin.com.au",,"M2-PW, M2-RW, PW, RW","E"
"Ethos NRM Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e48a56606b527d28ca2581240020d469?OpenDocument","Cached","2025-09-12 10:41:40","Ethos NRM Pty Ltd","(03) 5153 0037","(03) 5153 0038","162 Macleod Street, BAIRNSDALE VIC 3875","Mr Eric Sjerp","Principal Consultant","""As Above"", &nbsp","eric@ethosnrm.com.au",,"AND, E-TFL, GAIN, NET, TFL","E"
"Evolution Civil Maintenance Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/0719a50d9564523fca257711007c5ab9?OpenDocument","Cached","2025-09-12 10:41:40","Evolution Civil Maintenance Pty Ltd",,,"51 HeathcoteRoad, MOOREBANK NSW 2170","Mr Chris Peel","Operations Manager - Bridges","""As Above"", &nbsp",,"Bridge Construction: B1; Financial: F050","B1, BW, F050, M2-BW","E"
"Evolution Traffic Control Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2ee1ae8232edc906ca2577c700012313?OpenDocument","Cached","2025-09-12 10:41:41","Evolution Traffic Control Pty Ltd","(07) 3623 6422","(07) 3216 2724","572 Curtin Ave East , EAGLE FARM QLD 4018","Bernice Harris","GroupCommercial coordinator","PO Box 432, NORTHGATE QLD 4009&nbsp","sales@theevolutiongroup.com.au",,,"E"
"Excell Gray Bruni Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/322e08f96c5a765fca256d0b0016ee89?OpenDocument","Cached","2025-09-12 10:41:41","Excell Gray Bruni Pty Ltd","(03) 9933 2344","(03) 9338  6313","75 Wright Road, KEILOR PARK VIC 3042","Mr Neville Smith","Director","""As Above""&nbsp","nsmith@graybruni.com.au","Road Construction: R3; Bridge Construction: B1; Financial: F150+","B1, F150+, R3","E"
"Extons Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fafdaf44315de9faca256d0b0016e898?OpenDocument","Cached","2025-09-12 10:41:42","Extons Pty Ltd","(03) 5762 2227","(03) 5762 5834","85 Gillies Street, BENALLA VIC 3672","Mr Ian Exton","Director","PO Box 650, BENALLA VIC 3672&nbsp","info@extons.com.au","Road Construction: R1; Bridge Construction: B1; Financial: F010","B1, F010, R1","E"
"Engeny Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/05322066c5d08258ca258ae4001d602a?OpenDocument","Cached","2025-09-12 10:41:43",,"(03) 9888 6978",,"Level 43, Tenancy 2, 260 Elizabeth Street, MELBOURNE VIC 3000","Mr Scott Dunn","General Manager VIC / Principall Engineer","PO Box 12192 , A'beckett Street Vic 8006&nbsp","scott.dunn@engeny.com.au",,"CH, H-COMPLEX, H-SIMPLE, SH, WSRD","E"
"ETS Vegetation Management","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9225ee2238e9dd98ca25872f007e9f03?OpenDocument","Cached","2025-09-12 10:41:43","ETS Infrastructure Management Pty Ltd","03 9739 6666","03 9739 6677","62 Industrial Park Drive, Lilydale VIC 3140","Mr Greg Gardam","State Manager - Victoria","""As Above"", &nbsp","ggardam@easterrntrees.com",,"GC, LS","E"
