"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","Mobile_No_","PostalAddress","Email","Letter"
"Leegroup**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1c23c75e114ecc7aca2586df001da0ce?OpenDocument","Cached","2025-09-12 10:43:26","Lee Brothers Fencing Pty Ltd","03 9484 4544",,"15 Beaufort Street, PRESTON VIC 3072","Mr Sunil Kumar","Director","0413 153 606","""As Above"", &nbsp","skumar@leegroup.com.au","L"
"LEKT Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/30d11a8f644b8675ca258831002075c1?OpenDocument","Cached","2025-09-12 10:43:27","LEKT Pty Ltd","0466 551 550",,"10 Hilbert Road, AIRPORT WEST VIC 3043","Mr Emir Ameti","Director",,"""As Above"", &nbsp","emir@lekt.com.au","L"
"Lincolne Scott (Vision Design Studio)**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3198da9be9c80d31ca256d0a00076802?OpenDocument","Cached","2025-09-12 10:43:27","Lincolne Scott Australia Pty Ltd","(03) 9615 3222","(03) 9629 3929","121 King Street, MELBOURNE VIC 3000","Mr *Steve Brown","Director",,"""As Above""&nbsp","vdsmelb@visiondesign.com.au","L"
"Linct Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8e2e1bb4c292e8a0ca2587c6000bcfd2?OpenDocument","Cached","2025-09-12 10:43:28","Linct Group Pty Ltd","03 5941 6244",,"Suite 7, 2-4 Purton Road, PAKENHAM VIC 3810","Ms Brincat Ebony","Business Unit Manager","0472 601 437","PO Box 444, PAKENHAM VIC 3810&nbsp","ebony.brincat@linctgroup.com.au","L"
"Little Rock Road Services**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e0b99c9e11532fbbca2575cc002a39f0?OpenDocument","Cached","2025-09-12 10:43:29","Little Rock Consulting Services Pty Ltd","(03) 5781 0505","(03) 5781 0506","7 Maher Street, KILMORE VIC 3764","Mrs Shelly Biancon","Director","0417 309 607","PO Box 571, KILMORE VIC 3764&nbsp","ltlroc@bigpond.com","L"
"Livic Underground Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/958ef6f16d43d972ca258af300110091?OpenDocument","Cached","2025-09-12 10:43:30","Livic Underground Construction Pty Ltd",,,"1 / 6 Carmen Street , Truganina VIC 3029","Mr Stuart White","Director","0422 844 343","""As Above"", &nbsp","stuart.white@livicunderground.com.au","L"
"LMS Unit Trust**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7bf12cb4c9e216aeca257c070015089b?OpenDocument","Cached","2025-09-12 10:43:30","P J Lynch & Staff Pty Ltd","(03) 9437 2799","(03) 9437 2788","Factory 1/6 Candlebark Court, RESEARCH VIC 3095","Mr Mark Lynch","Director","0417 771 136","P O Box 1212, Research, VIC 3095&nbsp","mark@pjlynch.com.au","L"
"Loddon Shire Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d4eb66410a4f7828ca257042002228fe?OpenDocument","Cached","2025-09-12 10:43:31","Loddon Shire Council","(03) 5494 1222","(03) 5494 3003","41 High Street, WEDDERBURN VIC 3518","Mr Daniel Lloyd","Manager Works","0407 337 251","PO BOX 21, WEDDERBURN VIC 3518&nbsp","dlloyd@loddon.vic.gov.au","L"
"Loetis Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/17f327262ce58266ca258a3600823a88?OpenDocument","Cached","2025-09-12 10:43:31","Loetis Pty Ltd","0477 853 664",,"51 Little Fyans Street, SOUTH GEELONG VIC 3220","Mr Leigh Prossor","Director","0400 550 096","PO Box 867, GEELONG VIC 3220&nbsp","tom.r@loetis.com.au","L"
"LOJAC Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c047e8cabb0c8cd6ca2576bd001f70c0?OpenDocument","Cached","2025-09-12 10:43:32","LOJAC Civil Pty Ltd","(03) 9532 0200","(03) 9532 0800","35/148 Chesterville Road, MOORABBIN VIC 3188","Mr Craig Hosie","Director","0431 341 566","""As Above"", &nbsp","craighosie@lojac.com.au","L"
"Lowe Electrical**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/25ced43a1c58647aca25712c0015885b?OpenDocument","Cached","2025-09-12 10:43:33","C S Lowe Pty Ltd","(03) 9763 3833","(030 9753 2544","3/ 766 Burwood Highway, FERNTREE GULLY VIC 3156","Mr Brian Lowe","Director","0425 778 563","PO BOX 382, FERNTREE GULLY VIC 3156&nbsp","brian@loweelectrical.com.au","L"
"Lucas Total Contract Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c64ffc2f15a99789ca257ca000030e70?OpenDocument","Cached","2025-09-12 10:43:33","Lucas Total Contract Solutions Pty Ltd","(08) 8179 4000","08 8358 3849","Brookside Road, Darlington, SA 5047","Mr Nick Matthews","General Manager","0418 824 382","P O Box 150, BRIGHTON, SA 5048&nbsp","enquries@lucastcs.com.au","L"
"L&amp;M Traffic Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5bafbbcb5676d38cca25858900201b77?OpenDocument","Cached","2025-09-12 10:43:34",,"(03) 9768 2637","(03) 9768 2364","Unit 1, 2-4 Souffi Place, DANDENONG SOUTH VIC 3175","Mr Trevor Chambers","Regional Manager","0439 807 862","""As Above"", &nbsp","trevor.chambers@trafficltd.com.au","L"
